title|acoste_rate|acoste_count|ancore_rate|ancore_count|release_date|cd
流れ星ジェニー|--|--|--|--|2011/04/15|めろ〜ん音頭〜Festival of Kingdom〜
BITTER SWEET HOLIDAY|1.0|6.0|--|--|2020/06/24|Candy tuft
春色の風、今も...。|--|--|--|--|--|--
追い風|--|--|--|--|2002/04/24|Love♡parade
瞳の旅人|--|--|--|--|--|--
DAYDREAM|--|--|--|--|--|--
満月のセンシビリティー|--|--|--|--|2010/01/27|My wish My love
Shooting Star|--|--|--|--|2009/02/04|木漏れ日の花冠
パーティーは終わらない|--|--|0.0416666666666666|1.0|2012/10/17|Everlasting Gift
Doki Doki ☆ π パイン|--|--|0.2727272727272727|3.0|2014/08/26|Doki Doki ☆ π パイン
Love Sick|--|--|--|--|2010/09/08|シトロンの雨
シンデレラ・グラフィティ|--|--|--|--|--|--
コードレス★照れ★PHONE|--|--|--|--|--|--
Love❤️parade|--|--|--|--|--|--
Luminous Party|--|--|--|--|2009/02/04|木漏れ日の花冠
ゆかり王国国歌|--|--|--|--|--|--
Luv Fanatic|0.3|6.0|--|--|2015/04/01|好きだって言えなくて
めろ～ん音頭|--|--|--|--|--|--
まぶしさ|--|--|--|--|--|--
うたかた|0.875|7.0|--|--|2002/09/25|花降り月夜と恋曜日。
POWDER RAINBOW|--|--|--|--|--|--
Pink aquarium|--|--|--|--|--|--
Pleasure treasure|--|--|--|--|2015/04/01|好きだって言えなくて
Primary tale|--|--|--|--|--|--
Sand Mark|--|--|--|--|2008/02/27|十六夜の月、カナリアの恋。
Sewing My MODE|--|--|--|--|2015/04/22|ガールフレンド(仮) Vol.4
スマイルスマイル|--|--|--|--|--|--
Love Countdown|--|--|--|--|--|--
Don't stop Movin' on!|--|--|--|--|--|--
Libido zone|--|--|--|--|2019/05/22|Strawberry candle
恋するラズベリー|--|--|0.0714285714285714|1.0|2007/08/01|Beautiful Amulet
Ever-Never-Land|--|--|--|--|2005/03/02|琥珀の詩、ひとひら
幽玄サクリファイス|--|--|--|--|2018/10/06|HITOME VOLTAGE
幸せになるといいな|--|--|--|--|--|--
Fantasia|--|--|--|--|--|--
女神転生|--|--|--|--|--|--
太陽のイヴ|--|--|--|--|2011/10/12|Endless Story
Hallo Again|--|--|--|--|--|--
天使じゃなくても|--|--|--|--|--|--
君のポケットの中|--|--|--|--|--|--
傷つく宝石|--|--|--|--|2013/04/17|Fantastic future
Kissaway～幻の森~|--|--|--|--|--|--
ラブサイン|--|--|--|--|2010/01/27|My wish My love
ブラックダリア|--|--|--|--|--|--
フルーツ|0.8181818181818182|9.0|--|--|2003/11/06|蒼空に揺れる蜜月の小舟。
青空にあいたい|--|--|--|--|--|--
